Nome da rede,Acuracia,Camadas,neuronios,learning_rate,momentum
C1N2L3M3,0.6481481194496155,1,2,0.3,0.3
C1N2L3M4,0.6481481194496155,1,2,0.3,0.4
C1N2L3M5,0.6481481194496155,1,2,0.3,0.5
C1N2L3M6,0.6481481194496155,1,2,0.3,0.6
C1N2L3M7,0.6481481194496155,1,2,0.3,0.7
C1N2L4M3,0.6481481194496155,1,2,0.4,0.3
C1N2L4M4,0.7160493731498718,1,2,0.4,0.4
C1N2L4M5,0.6481481194496155,1,2,0.4,0.5
C1N2L4M6,0.6481481194496155,1,2,0.4,0.6
C1N2L4M7,0.6481481194496155,1,2,0.4,0.7
C1N2L5M3,0.654321014881134,1,2,0.5,0.3
C1N2L5M4,0.6481481194496155,1,2,0.5,0.4
C1N2L5M5,0.6481481194496155,1,2,0.5,0.5
C1N2L5M6,0.6481481194496155,1,2,0.5,0.6
C1N2L5M7,0.6481481194496155,1,2,0.5,0.7
C1N2L6M3,0.6481481194496155,1,2,0.6,0.3
C1N2L6M4,0.45679011940956116,1,2,0.6,0.4
C1N2L6M5,0.6481481194496155,1,2,0.6,0.5
C1N2L6M6,0.6481481194496155,1,2,0.6,0.6
C1N2L6M7,0.6481481194496155,1,2,0.6,0.7
C1N2L7M3,0.6481481194496155,1,2,0.7,0.3
C1N2L7M4,0.7160493731498718,1,2,0.7,0.4
C1N2L7M5,0.6481481194496155,1,2,0.7,0.5
C1N2L7M6,0.43209877610206604,1,2,0.7,0.6
C1N2L7M7,0.6481481194496155,1,2,0.7,0.7
C1N4L3M3,0.7037037014961243,1,4,0.3,0.3
C1N4L3M4,0.6481481194496155,1,4,0.3,0.4
C1N4L3M5,0.7037037014961243,1,4,0.3,0.5
C1N4L3M6,0.6481481194496155,1,4,0.3,0.6
C1N4L3M7,0.7160493731498718,1,4,0.3,0.7
C1N4L4M3,0.4444444477558136,1,4,0.4,0.3
C1N4L4M4,0.6481481194496155,1,4,0.4,0.4
C1N4L4M5,0.709876537322998,1,4,0.4,0.5
C1N4L4M6,0.6481481194496155,1,4,0.4,0.6
C1N4L4M7,0.6851851940155029,1,4,0.4,0.7
C1N4L5M3,0.6481481194496155,1,4,0.5,0.3
C1N4L5M4,0.7160493731498718,1,4,0.5,0.4
C1N4L5M5,0.6481481194496155,1,4,0.5,0.5
C1N4L5M6,0.5925925970077515,1,4,0.5,0.6
C1N4L5M7,0.7160493731498718,1,4,0.5,0.7
C1N4L6M3,0.709876537322998,1,4,0.6,0.3
C1N4L6M4,0.6481481194496155,1,4,0.6,0.4
C1N4L6M5,0.654321014881134,1,4,0.6,0.5
C1N4L6M6,0.6481481194496155,1,4,0.6,0.6
C1N4L6M7,0.5740740895271301,1,4,0.6,0.7
C1N4L7M3,0.6419752836227417,1,4,0.7,0.3
C1N4L7M4,0.6481481194496155,1,4,0.7,0.4
C1N4L7M5,0.6481481194496155,1,4,0.7,0.5
C1N4L7M6,0.6481481194496155,1,4,0.7,0.6
C1N4L7M7,0.6481481194496155,1,4,0.7,0.7
C1N8L3M3,0.6975308656692505,1,8,0.3,0.3
C1N8L3M4,0.6604938507080078,1,8,0.3,0.4
C1N8L3M5,0.6975308656692505,1,8,0.3,0.5
C1N8L3M6,0.709876537322998,1,8,0.3,0.6
C1N8L3M7,0.6790123581886292,1,8,0.3,0.7
C1N8L4M3,0.7222222089767456,1,8,0.4,0.3
C1N8L4M4,0.7037037014961243,1,8,0.4,0.4
C1N8L4M5,0.7037037014961243,1,8,0.4,0.5
C1N8L4M6,0.6913580298423767,1,8,0.4,0.6
C1N8L4M7,0.6481481194496155,1,8,0.4,0.7
C1N8L5M3,0.6851851940155029,1,8,0.5,0.3
C1N8L5M4,0.6481481194496155,1,8,0.5,0.4
C1N8L5M5,0.6851851940155029,1,8,0.5,0.5
C1N8L5M6,0.6234567761421204,1,8,0.5,0.6
C1N8L5M7,0.6481481194496155,1,8,0.5,0.7
C1N8L6M3,0.6728395223617554,1,8,0.6,0.3
C1N8L6M4,0.6481481194496155,1,8,0.6,0.4
C1N8L6M5,0.6481481194496155,1,8,0.6,0.5
C1N8L6M6,0.6481481194496155,1,8,0.6,0.6
C1N8L6M7,0.6481481194496155,1,8,0.6,0.7
C1N8L7M3,0.6481481194496155,1,8,0.7,0.3
C1N8L7M4,0.709876537322998,1,8,0.7,0.4
C1N8L7M5,0.6481481194496155,1,8,0.7,0.5
C1N8L7M6,0.6728395223617554,1,8,0.7,0.6
C1N8L7M7,0.6481481194496155,1,8,0.7,0.7
C1N16L3M3,0.6419752836227417,1,16,0.3,0.3
C1N16L3M4,0.6913580298423767,1,16,0.3,0.4
C1N16L3M5,0.709876537322998,1,16,0.3,0.5
C1N16L3M6,0.7530864477157593,1,16,0.3,0.6
C1N16L3M7,0.6790123581886292,1,16,0.3,0.7
C1N16L4M3,0.7160493731498718,1,16,0.4,0.3
C1N16L4M4,0.709876537322998,1,16,0.4,0.4
C1N16L4M5,0.6790123581886292,1,16,0.4,0.5
C1N16L4M6,0.6975308656692505,1,16,0.4,0.6
C1N16L4M7,0.6913580298423767,1,16,0.4,0.7
C1N16L5M3,0.6481481194496155,1,16,0.5,0.3
C1N16L5M4,0.6913580298423767,1,16,0.5,0.4
C1N16L5M5,0.6481481194496155,1,16,0.5,0.5
C1N16L5M6,0.6481481194496155,1,16,0.5,0.6
C1N16L5M7,0.7037037014961243,1,16,0.5,0.7
C1N16L6M3,0.6790123581886292,1,16,0.6,0.3
C1N16L6M4,0.7160493731498718,1,16,0.6,0.4
C1N16L6M5,0.7037037014961243,1,16,0.6,0.5
C1N16L6M6,0.7037037014961243,1,16,0.6,0.6
C1N16L6M7,0.709876537322998,1,16,0.6,0.7
C1N16L7M3,0.6481481194496155,1,16,0.7,0.3
C1N16L7M4,0.6481481194496155,1,16,0.7,0.4
C1N16L7M5,0.6481481194496155,1,16,0.7,0.5
C1N16L7M6,0.6481481194496155,1,16,0.7,0.6
C1N16L7M7,0.6481481194496155,1,16,0.7,0.7
C1N32L3M3,0.6172839403152466,1,32,0.3,0.3
C1N32L3M4,0.7222222089767456,1,32,0.3,0.4
C1N32L3M5,0.6481481194496155,1,32,0.3,0.5
C1N32L3M6,0.6790123581886292,1,32,0.3,0.6
C1N32L3M7,0.6604938507080078,1,32,0.3,0.7
C1N32L4M3,0.6481481194496155,1,32,0.4,0.3
C1N32L4M4,0.6728395223617554,1,32,0.4,0.4
C1N32L4M5,0.654321014881134,1,32,0.4,0.5
C1N32L4M6,0.6975308656692505,1,32,0.4,0.6
C1N32L4M7,0.6481481194496155,1,32,0.4,0.7
C1N32L5M3,0.6913580298423767,1,32,0.5,0.3
C1N32L5M4,0.7037037014961243,1,32,0.5,0.4
C1N32L5M5,0.7345678806304932,1,32,0.5,0.5
C1N32L5M6,0.7160493731498718,1,32,0.5,0.6
C1N32L5M7,0.6728395223617554,1,32,0.5,0.7
C1N32L6M3,0.709876537322998,1,32,0.6,0.3
C1N32L6M4,0.709876537322998,1,32,0.6,0.4
C1N32L6M5,0.6481481194496155,1,32,0.6,0.5
C1N32L6M6,0.6481481194496155,1,32,0.6,0.6
C1N32L6M7,0.6481481194496155,1,32,0.6,0.7
C1N32L7M3,0.4938271641731262,1,32,0.7,0.3
C1N32L7M4,0.6481481194496155,1,32,0.7,0.4
C1N32L7M5,0.6481481194496155,1,32,0.7,0.5
C1N32L7M6,0.6481481194496155,1,32,0.7,0.6
C1N32L7M7,0.6604938507080078,1,32,0.7,0.7
C1N64L3M3,0.6604938507080078,1,64,0.3,0.3
C1N64L3M4,0.6913580298423767,1,64,0.3,0.4
C1N64L3M5,0.709876537322998,1,64,0.3,0.5
C1N64L3M6,0.6666666865348816,1,64,0.3,0.6
C1N64L3M7,0.709876537322998,1,64,0.3,0.7
C1N64L4M3,0.7037037014961243,1,64,0.4,0.3
C1N64L4M4,0.6604938507080078,1,64,0.4,0.4
C1N64L4M5,0.6790123581886292,1,64,0.4,0.5
C1N64L4M6,0.7037037014961243,1,64,0.4,0.6
C1N64L4M7,0.6975308656692505,1,64,0.4,0.7
C1N64L5M3,0.7222222089767456,1,64,0.5,0.3
C1N64L5M4,0.6790123581886292,1,64,0.5,0.4
C1N64L5M5,0.7037037014961243,1,64,0.5,0.5
C1N64L5M6,0.6419752836227417,1,64,0.5,0.6
C1N64L5M7,0.6913580298423767,1,64,0.5,0.7
C1N64L6M3,0.6913580298423767,1,64,0.6,0.3
C1N64L6M4,0.7160493731498718,1,64,0.6,0.4
C1N64L6M5,0.6481481194496155,1,64,0.6,0.5
C1N64L6M6,0.4197530746459961,1,64,0.6,0.6
C1N64L6M7,0.6481481194496155,1,64,0.6,0.7
C1N64L7M3,0.6851851940155029,1,64,0.7,0.3
C1N64L7M4,0.6913580298423767,1,64,0.7,0.4
C1N64L7M5,0.6851851940155029,1,64,0.7,0.5
C1N64L7M6,0.7160493731498718,1,64,0.7,0.6
C1N64L7M7,0.6728395223617554,1,64,0.7,0.7
C1N128L3M3,0.6481481194496155,1,128,0.3,0.3
C1N128L3M4,0.709876537322998,1,128,0.3,0.4
C1N128L3M5,0.6975308656692505,1,128,0.3,0.5
C1N128L3M6,0.7222222089767456,1,128,0.3,0.6
C1N128L3M7,0.7160493731498718,1,128,0.3,0.7
C1N128L4M3,0.709876537322998,1,128,0.4,0.3
C1N128L4M4,0.6851851940155029,1,128,0.4,0.4
C1N128L4M5,0.6975308656692505,1,128,0.4,0.5
C1N128L4M6,0.6975308656692505,1,128,0.4,0.6
C1N128L4M7,0.7160493731498718,1,128,0.4,0.7
C1N128L5M3,0.6851851940155029,1,128,0.5,0.3
C1N128L5M4,0.6851851940155029,1,128,0.5,0.4
C1N128L5M5,0.6481481194496155,1,128,0.5,0.5
C1N128L5M6,0.6234567761421204,1,128,0.5,0.6
C1N128L5M7,0.709876537322998,1,128,0.5,0.7
C1N128L6M3,0.6481481194496155,1,128,0.6,0.3
C1N128L6M4,0.6481481194496155,1,128,0.6,0.4
C1N128L6M5,0.6481481194496155,1,128,0.6,0.5
C1N128L6M6,0.7160493731498718,1,128,0.6,0.6
C1N128L6M7,0.6851851940155029,1,128,0.6,0.7
C1N128L7M3,0.6790123581886292,1,128,0.7,0.3
C1N128L7M4,0.7037037014961243,1,128,0.7,0.4
C1N128L7M5,0.654321014881134,1,128,0.7,0.5
C1N128L7M6,0.42592594027519226,1,128,0.7,0.6
C1N128L7M7,0.4938271641731262,1,128,0.7,0.7
C2N2L3M3,0.6481481194496155,2,2,0.3,0.3
C2N2L3M4,0.6481481194496155,2,2,0.3,0.4
C2N2L3M5,0.6481481194496155,2,2,0.3,0.5
C2N2L3M6,0.6481481194496155,2,2,0.3,0.6
C2N2L3M7,0.6481481194496155,2,2,0.3,0.7
C2N2L4M3,0.6481481194496155,2,2,0.4,0.3
C2N2L4M4,0.6358024477958679,2,2,0.4,0.4
C2N2L4M5,0.6481481194496155,2,2,0.4,0.5
C2N2L4M6,0.6481481194496155,2,2,0.4,0.6
C2N2L4M7,0.6481481194496155,2,2,0.4,0.7
C2N2L5M3,0.6481481194496155,2,2,0.5,0.3
C2N2L5M4,0.6481481194496155,2,2,0.5,0.4
C2N2L5M5,0.6481481194496155,2,2,0.5,0.5
C2N2L5M6,0.6481481194496155,2,2,0.5,0.6
C2N2L5M7,0.6481481194496155,2,2,0.5,0.7
C2N2L6M3,0.6481481194496155,2,2,0.6,0.3
C2N2L6M4,0.6481481194496155,2,2,0.6,0.4
C2N2L6M5,0.6481481194496155,2,2,0.6,0.5
C2N2L6M6,0.6481481194496155,2,2,0.6,0.6
C2N2L6M7,0.6481481194496155,2,2,0.6,0.7
C2N2L7M3,0.6481481194496155,2,2,0.7,0.3
C2N2L7M4,0.6481481194496155,2,2,0.7,0.4
C2N2L7M5,0.6481481194496155,2,2,0.7,0.5
C2N2L7M6,0.6481481194496155,2,2,0.7,0.6
C2N2L7M7,0.6481481194496155,2,2,0.7,0.7
C2N4L3M3,0.6790123581886292,2,4,0.3,0.3
C2N4L3M4,0.6481481194496155,2,4,0.3,0.4
C2N4L3M5,0.6975308656692505,2,4,0.3,0.5
C2N4L3M6,0.6481481194496155,2,4,0.3,0.6
C2N4L3M7,0.6481481194496155,2,4,0.3,0.7
C2N4L4M3,0.6481481194496155,2,4,0.4,0.3
C2N4L4M4,0.6481481194496155,2,4,0.4,0.4
C2N4L4M5,0.6481481194496155,2,4,0.4,0.5
C2N4L4M6,0.6728395223617554,2,4,0.4,0.6
C2N4L4M7,0.6481481194496155,2,4,0.4,0.7
C2N4L5M3,0.6481481194496155,2,4,0.5,0.3
C2N4L5M4,0.6481481194496155,2,4,0.5,0.4
C2N4L5M5,0.6790123581886292,2,4,0.5,0.5
C2N4L5M6,0.6481481194496155,2,4,0.5,0.6
C2N4L5M7,0.6481481194496155,2,4,0.5,0.7
C2N4L6M3,0.6481481194496155,2,4,0.6,0.3
C2N4L6M4,0.6481481194496155,2,4,0.6,0.4
C2N4L6M5,0.6481481194496155,2,4,0.6,0.5
C2N4L6M6,0.6481481194496155,2,4,0.6,0.6
C2N4L6M7,0.6481481194496155,2,4,0.6,0.7
C2N4L7M3,0.6481481194496155,2,4,0.7,0.3
C2N4L7M4,0.6481481194496155,2,4,0.7,0.4
C2N4L7M5,0.6481481194496155,2,4,0.7,0.5
C2N4L7M6,0.6481481194496155,2,4,0.7,0.6
C2N4L7M7,0.6481481194496155,2,4,0.7,0.7
C2N8L3M3,0.7222222089767456,2,8,0.3,0.3
C2N8L3M4,0.6481481194496155,2,8,0.3,0.4
C2N8L3M5,0.6481481194496155,2,8,0.3,0.5
C2N8L3M6,0.6481481194496155,2,8,0.3,0.6
C2N8L3M7,0.5925925970077515,2,8,0.3,0.7
C2N8L4M3,0.6481481194496155,2,8,0.4,0.3
C2N8L4M4,0.6975308656692505,2,8,0.4,0.4
C2N8L4M5,0.6481481194496155,2,8,0.4,0.5
C2N8L4M6,0.6851851940155029,2,8,0.4,0.6
C2N8L4M7,0.6481481194496155,2,8,0.4,0.7
C2N8L5M3,0.6851851940155029,2,8,0.5,0.3
C2N8L5M4,0.6481481194496155,2,8,0.5,0.4
C2N8L5M5,0.7037037014961243,2,8,0.5,0.5
C2N8L5M6,0.6481481194496155,2,8,0.5,0.6
C2N8L5M7,0.6481481194496155,2,8,0.5,0.7
C2N8L6M3,0.6913580298423767,2,8,0.6,0.3
C2N8L6M4,0.6481481194496155,2,8,0.6,0.4
C2N8L6M5,0.6419752836227417,2,8,0.6,0.5
C2N8L6M6,0.6481481194496155,2,8,0.6,0.6
C2N8L6M7,0.6481481194496155,2,8,0.6,0.7
C2N8L7M3,0.6481481194496155,2,8,0.7,0.3
C2N8L7M4,0.6481481194496155,2,8,0.7,0.4
C2N8L7M5,0.6481481194496155,2,8,0.7,0.5
C2N8L7M6,0.6481481194496155,2,8,0.7,0.6
C2N8L7M7,0.6481481194496155,2,8,0.7,0.7
C2N16L3M3,0.709876537322998,2,16,0.3,0.3
C2N16L3M4,0.6790123581886292,2,16,0.3,0.4
C2N16L3M5,0.7160493731498718,2,16,0.3,0.5
C2N16L3M6,0.6481481194496155,2,16,0.3,0.6
C2N16L3M7,0.6481481194496155,2,16,0.3,0.7
C2N16L4M3,0.654321014881134,2,16,0.4,0.3
C2N16L4M4,0.6481481194496155,2,16,0.4,0.4
C2N16L4M5,0.6604938507080078,2,16,0.4,0.5
C2N16L4M6,0.7160493731498718,2,16,0.4,0.6
C2N16L4M7,0.6296296119689941,2,16,0.4,0.7
C2N16L5M3,0.6481481194496155,2,16,0.5,0.3
C2N16L5M4,0.7037037014961243,2,16,0.5,0.4
C2N16L5M5,0.6481481194496155,2,16,0.5,0.5
C2N16L5M6,0.6481481194496155,2,16,0.5,0.6
C2N16L5M7,0.7222222089767456,2,16,0.5,0.7
C2N16L6M3,0.6728395223617554,2,16,0.6,0.3
C2N16L6M4,0.4135802388191223,2,16,0.6,0.4
C2N16L6M5,0.7037037014961243,2,16,0.6,0.5
C2N16L6M6,0.6234567761421204,2,16,0.6,0.6
C2N16L6M7,0.5802469253540039,2,16,0.6,0.7
C2N16L7M3,0.6728395223617554,2,16,0.7,0.3
C2N16L7M4,0.6481481194496155,2,16,0.7,0.4
C2N16L7M5,0.7160493731498718,2,16,0.7,0.5
C2N16L7M6,0.3888888955116272,2,16,0.7,0.6
C2N16L7M7,0.6481481194496155,2,16,0.7,0.7
C2N32L3M3,0.6358024477958679,2,32,0.3,0.3
C2N32L3M4,0.6481481194496155,2,32,0.3,0.4
C2N32L3M5,0.6728395223617554,2,32,0.3,0.5
C2N32L3M6,0.43209877610206604,2,32,0.3,0.6
C2N32L3M7,0.6481481194496155,2,32,0.3,0.7
C2N32L4M3,0.709876537322998,2,32,0.4,0.3
C2N32L4M4,0.7037037014961243,2,32,0.4,0.4
C2N32L4M5,0.5679012537002563,2,32,0.4,0.5
C2N32L4M6,0.7345678806304932,2,32,0.4,0.6
C2N32L4M7,0.6481481194496155,2,32,0.4,0.7
C2N32L5M3,0.6481481194496155,2,32,0.5,0.3
C2N32L5M4,0.6481481194496155,2,32,0.5,0.4
C2N32L5M5,0.5246913433074951,2,32,0.5,0.5
C2N32L5M6,0.709876537322998,2,32,0.5,0.6
C2N32L5M7,0.6975308656692505,2,32,0.5,0.7
C2N32L6M3,0.6481481194496155,2,32,0.6,0.3
C2N32L6M4,0.6481481194496155,2,32,0.6,0.4
C2N32L6M5,0.6975308656692505,2,32,0.6,0.5
C2N32L6M6,0.6481481194496155,2,32,0.6,0.6
C2N32L6M7,0.7037037014961243,2,32,0.6,0.7
C2N32L7M3,0.42592594027519226,2,32,0.7,0.3
C2N32L7M4,0.6975308656692505,2,32,0.7,0.4
C2N32L7M5,0.6666666865348816,2,32,0.7,0.5
C2N32L7M6,0.6481481194496155,2,32,0.7,0.6
C2N32L7M7,0.6481481194496155,2,32,0.7,0.7
C2N64L3M3,0.6728395223617554,2,64,0.3,0.3
C2N64L3M4,0.6481481194496155,2,64,0.3,0.4
C2N64L3M5,0.6604938507080078,2,64,0.3,0.5
C2N64L3M6,0.709876537322998,2,64,0.3,0.6
C2N64L3M7,0.7160493731498718,2,64,0.3,0.7
C2N64L4M3,0.654321014881134,2,64,0.4,0.3
C2N64L4M4,0.6481481194496155,2,64,0.4,0.4
C2N64L4M5,0.6851851940155029,2,64,0.4,0.5
C2N64L4M6,0.709876537322998,2,64,0.4,0.6
C2N64L4M7,0.6666666865348816,2,64,0.4,0.7
C2N64L5M3,0.6481481194496155,2,64,0.5,0.3
C2N64L5M4,0.6481481194496155,2,64,0.5,0.4
C2N64L5M5,0.6975308656692505,2,64,0.5,0.5
C2N64L5M6,0.6481481194496155,2,64,0.5,0.6
C2N64L5M7,0.6481481194496155,2,64,0.5,0.7
C2N64L6M3,0.6481481194496155,2,64,0.6,0.3
C2N64L6M4,0.6111111044883728,2,64,0.6,0.4
C2N64L6M5,0.6913580298423767,2,64,0.6,0.5
C2N64L6M6,0.6481481194496155,2,64,0.6,0.6
C2N64L6M7,0.6790123581886292,2,64,0.6,0.7
C2N64L7M3,0.6481481194496155,2,64,0.7,0.3
C2N64L7M4,0.6481481194496155,2,64,0.7,0.4
C2N64L7M5,0.6481481194496155,2,64,0.7,0.5
C2N64L7M6,0.6481481194496155,2,64,0.7,0.6
C2N64L7M7,0.6481481194496155,2,64,0.7,0.7
C2N128L3M3,0.6975308656692505,2,128,0.3,0.3
C2N128L3M4,0.6728395223617554,2,128,0.3,0.4
C2N128L3M5,0.6975308656692505,2,128,0.3,0.5
C2N128L3M6,0.6975308656692505,2,128,0.3,0.6
C2N128L3M7,0.7160493731498718,2,128,0.3,0.7
C2N128L4M3,0.709876537322998,2,128,0.4,0.3
C2N128L4M4,0.6790123581886292,2,128,0.4,0.4
C2N128L4M5,0.709876537322998,2,128,0.4,0.5
C2N128L4M6,0.6604938507080078,2,128,0.4,0.6
C2N128L4M7,0.6481481194496155,2,128,0.4,0.7
C2N128L5M3,0.6481481194496155,2,128,0.5,0.3
C2N128L5M4,0.6913580298423767,2,128,0.5,0.4
C2N128L5M5,0.48765432834625244,2,128,0.5,0.5
C2N128L5M6,0.654321014881134,2,128,0.5,0.6
C2N128L5M7,0.6975308656692505,2,128,0.5,0.7
C2N128L6M3,0.5061728358268738,2,128,0.6,0.3
C2N128L6M4,0.7037037014961243,2,128,0.6,0.4
C2N128L6M5,0.6481481194496155,2,128,0.6,0.5
C2N128L6M6,0.5493826866149902,2,128,0.6,0.6
C2N128L6M7,0.6481481194496155,2,128,0.6,0.7
C2N128L7M3,0.7160493731498718,2,128,0.7,0.3
C2N128L7M4,0.6481481194496155,2,128,0.7,0.4
C2N128L7M5,0.6481481194496155,2,128,0.7,0.5
C2N128L7M6,0.6481481194496155,2,128,0.7,0.6
C2N128L7M7,0.6666666865348816,2,128,0.7,0.7
C3N2L3M3,0.6481481194496155,3,2,0.3,0.3
C3N2L3M4,0.6481481194496155,3,2,0.3,0.4
C3N2L3M5,0.6481481194496155,3,2,0.3,0.5
C3N2L3M6,0.6481481194496155,3,2,0.3,0.6
C3N2L3M7,0.6481481194496155,3,2,0.3,0.7
C3N2L4M3,0.6481481194496155,3,2,0.4,0.3
C3N2L4M4,0.6481481194496155,3,2,0.4,0.4
C3N2L4M5,0.6481481194496155,3,2,0.4,0.5
C3N2L4M6,0.6481481194496155,3,2,0.4,0.6
C3N2L4M7,0.6481481194496155,3,2,0.4,0.7
C3N2L5M3,0.6481481194496155,3,2,0.5,0.3
C3N2L5M4,0.6481481194496155,3,2,0.5,0.4
C3N2L5M5,0.6481481194496155,3,2,0.5,0.5
C3N2L5M6,0.6481481194496155,3,2,0.5,0.6
C3N2L5M7,0.6481481194496155,3,2,0.5,0.7
C3N2L6M3,0.6481481194496155,3,2,0.6,0.3
C3N2L6M4,0.6481481194496155,3,2,0.6,0.4
C3N2L6M5,0.6481481194496155,3,2,0.6,0.5
C3N2L6M6,0.6481481194496155,3,2,0.6,0.6
C3N2L6M7,0.6481481194496155,3,2,0.6,0.7
C3N2L7M3,0.6481481194496155,3,2,0.7,0.3
C3N2L7M4,0.6481481194496155,3,2,0.7,0.4
C3N2L7M5,0.6481481194496155,3,2,0.7,0.5
C3N2L7M6,0.6481481194496155,3,2,0.7,0.6
C3N2L7M7,0.6481481194496155,3,2,0.7,0.7
C3N4L3M3,0.6481481194496155,3,4,0.3,0.3
C3N4L3M4,0.6481481194496155,3,4,0.3,0.4
C3N4L3M5,0.6481481194496155,3,4,0.3,0.5
C3N4L3M6,0.6481481194496155,3,4,0.3,0.6
C3N4L3M7,0.6481481194496155,3,4,0.3,0.7
C3N4L4M3,0.6481481194496155,3,4,0.4,0.3
C3N4L4M4,0.6481481194496155,3,4,0.4,0.4
C3N4L4M5,0.6481481194496155,3,4,0.4,0.5
C3N4L4M6,0.6481481194496155,3,4,0.4,0.6
C3N4L4M7,0.6481481194496155,3,4,0.4,0.7
C3N4L5M3,0.6481481194496155,3,4,0.5,0.3
C3N4L5M4,0.6481481194496155,3,4,0.5,0.4
C3N4L5M5,0.6481481194496155,3,4,0.5,0.5
C3N4L5M6,0.6481481194496155,3,4,0.5,0.6
C3N4L5M7,0.6481481194496155,3,4,0.5,0.7
C3N4L6M3,0.6481481194496155,3,4,0.6,0.3
C3N4L6M4,0.6481481194496155,3,4,0.6,0.4
C3N4L6M5,0.6481481194496155,3,4,0.6,0.5
C3N4L6M6,0.6481481194496155,3,4,0.6,0.6
C3N4L6M7,0.6481481194496155,3,4,0.6,0.7
C3N4L7M3,0.6481481194496155,3,4,0.7,0.3
C3N4L7M4,0.6481481194496155,3,4,0.7,0.4
C3N4L7M5,0.6481481194496155,3,4,0.7,0.5
C3N4L7M6,0.6481481194496155,3,4,0.7,0.6
C3N4L7M7,0.6481481194496155,3,4,0.7,0.7
C3N8L3M3,0.6481481194496155,3,8,0.3,0.3
C3N8L3M4,0.6481481194496155,3,8,0.3,0.4
C3N8L3M5,0.6481481194496155,3,8,0.3,0.5
C3N8L3M6,0.6481481194496155,3,8,0.3,0.6
C3N8L3M7,0.6481481194496155,3,8,0.3,0.7
C3N8L4M3,0.6481481194496155,3,8,0.4,0.3
C3N8L4M4,0.6481481194496155,3,8,0.4,0.4
C3N8L4M5,0.6481481194496155,3,8,0.4,0.5
C3N8L4M6,0.6481481194496155,3,8,0.4,0.6
C3N8L4M7,0.6481481194496155,3,8,0.4,0.7
C3N8L5M3,0.6481481194496155,3,8,0.5,0.3
C3N8L5M4,0.6481481194496155,3,8,0.5,0.4
C3N8L5M5,0.6481481194496155,3,8,0.5,0.5
C3N8L5M6,0.6481481194496155,3,8,0.5,0.6
C3N8L5M7,0.6481481194496155,3,8,0.5,0.7
C3N8L6M3,0.6481481194496155,3,8,0.6,0.3
C3N8L6M4,0.6481481194496155,3,8,0.6,0.4
C3N8L6M5,0.6481481194496155,3,8,0.6,0.5
C3N8L6M6,0.6481481194496155,3,8,0.6,0.6
C3N8L6M7,0.6481481194496155,3,8,0.6,0.7
C3N8L7M3,0.6481481194496155,3,8,0.7,0.3
C3N8L7M4,0.6481481194496155,3,8,0.7,0.4
C3N8L7M5,0.6481481194496155,3,8,0.7,0.5
C3N8L7M6,0.6481481194496155,3,8,0.7,0.6
C3N8L7M7,0.6481481194496155,3,8,0.7,0.7
C3N16L3M3,0.6481481194496155,3,16,0.3,0.3
C3N16L3M4,0.7160493731498718,3,16,0.3,0.4
C3N16L3M5,0.6790123581886292,3,16,0.3,0.5
C3N16L3M6,0.6481481194496155,3,16,0.3,0.6
C3N16L3M7,0.6481481194496155,3,16,0.3,0.7
C3N16L4M3,0.6481481194496155,3,16,0.4,0.3
C3N16L4M4,0.6481481194496155,3,16,0.4,0.4
C3N16L4M5,0.6481481194496155,3,16,0.4,0.5
C3N16L4M6,0.6481481194496155,3,16,0.4,0.6
C3N16L4M7,0.6481481194496155,3,16,0.4,0.7
C3N16L5M3,0.6481481194496155,3,16,0.5,0.3
C3N16L5M4,0.6481481194496155,3,16,0.5,0.4
C3N16L5M5,0.6481481194496155,3,16,0.5,0.5
